Date,Close
1/15/2014 16:00:00,74.84
1/16/2014 16:00:00,72.76
1/17/2014 16:00:00,72.52
1/21/2014 16:00:00,73.16
1/22/2014 16:00:00,73.4
1/23/2014 16:00:00,73.2
1/24/2014 16:00:00,71.6
1/27/2014 16:00:00,71.65
1/28/2014 16:00:00,71.71
1/29/2014 16:00:00,71.26
1/30/2014 16:00:00,72.8
1/31/2014 16:00:00,72.28
2/3/2014 16:00:00,70.74
2/4/2014 16:00:00,70.51
2/5/2014 16:00:00,70.82
2/6/2014 16:00:00,70.87
2/7/2014 16:00:00,71.36
2/10/2014 16:00:00,69.74
2/11/2014 16:00:00,70.62
2/12/2014 16:00:00,70.24
2/13/2014 16:00:00,71.21
2/14/2014 16:00:00,73.52
2/18/2014 16:00:00,73.83
2/19/2014 16:00:00,73.55
2/20/2014 16:00:00,73.48
2/21/2014 16:00:00,73.81
2/24/2014 16:00:00,76.01
2/25/2014 16:00:00,75.32
2/26/2014 16:00:00,76.06
2/27/2014 16:00:00,76.02
2/28/2014 16:00:00,77.27
3/3/2014 16:00:00,77.1
3/4/2014 16:00:00,78.13
3/5/2014 16:00:00,77.99
3/6/2014 16:00:00,77.64
3/7/2014 16:00:00,77.4
3/10/2014 16:00:00,77.88
3/11/2014 16:00:00,77.78
3/12/2014 16:00:00,77.6
3/13/2014 16:00:00,77.01
3/14/2014 16:00:00,75.7
3/17/2014 16:00:00,76.76
3/18/2014 16:00:00,78
3/19/2014 16:00:00,79.96
3/20/2014 16:00:00,81.53
3/21/2014 16:00:00,81.34
3/24/2014 16:00:00,81.28
3/25/2014 16:00:00,81.1
3/26/2014 16:00:00,81.54
3/27/2014 16:00:00,81.02
3/28/2014 16:00:00,81.62
3/31/2014 16:00:00,81.99
4/1/2014 16:00:00,81.84
4/2/2014 16:00:00,81.61
4/3/2014 16:00:00,82.25
4/4/2014 16:00:00,81.53
4/7/2014 16:00:00,81.08
4/8/2014 16:00:00,80.66
4/9/2014 16:00:00,81.39
4/10/2014 16:00:00,79.99
4/11/2014 16:00:00,78.95
4/14/2014 16:00:00,79.18
4/15/2014 16:00:00,79.51
4/16/2014 16:00:00,78.19
4/17/2014 16:00:00,75.78
4/21/2014 16:00:00,74.95
4/22/2014 16:00:00,75.76
4/23/2014 16:00:00,75.33
4/24/2014 16:00:00,76.59
4/25/2014 16:00:00,75.66
4/28/2014 16:00:00,75.74
4/29/2014 16:00:00,75.2
4/30/2014 16:00:00,75.04
5/1/2014 16:00:00,74.95
5/2/2014 16:00:00,75.03
5/5/2014 16:00:00,75.23
5/6/2014 16:00:00,75.26
5/7/2014 16:00:00,77.91
5/8/2014 16:00:00,76.89
5/9/2014 16:00:00,76.95
5/12/2014 16:00:00,77.74
5/13/2014 16:00:00,78.04
5/14/2014 16:00:00,77.17
5/15/2014 16:00:00,76.48
5/16/2014 16:00:00,76.65
5/19/2014 16:00:00,77.2
5/20/2014 16:00:00,76.66
5/21/2014 16:00:00,77.72
5/22/2014 16:00:00,78.34
5/23/2014 16:00:00,78.77
5/27/2014 16:00:00,79.11
5/28/2014 16:00:00,78.58
5/29/2014 16:00:00,79.37
5/30/2014 16:00:00,79.63
6/2/2014 16:00:00,79.47
6/3/2014 16:00:00,79.88
6/4/2014 16:00:00,80.51
6/5/2014 16:00:00,79.8
6/6/2014 16:00:00,79.93
6/9/2014 16:00:00,79.76
6/10/2014 16:00:00,79.81
6/11/2014 16:00:00,80.17
6/12/2014 16:00:00,79.44
6/13/2014 16:00:00,79.18
6/16/2014 16:00:00,78
6/17/2014 16:00:00,78.17
