Date,Close
10/31/2014 16:00:00,20.38
11/3/2014 16:00:00,20.38
11/4/2014 16:00:00,20.26
11/5/2014 16:00:00,20
11/6/2014 16:00:00,20.14
11/7/2014 16:00:00,20.12
11/10/2014 16:00:00,20.3
11/11/2014 16:00:00,20.29
11/12/2014 16:00:00,20.36
11/13/2014 16:00:00,20.34
11/14/2014 16:00:00,20.44
11/17/2014 16:00:00,20.41
11/18/2014 16:00:00,20.6
11/19/2014 16:00:00,20.29
11/20/2014 16:00:00,20.28
11/21/2014 16:00:00,20.36
11/24/2014 16:00:00,20.49
11/25/2014 16:00:00,20.52
11/26/2014 16:00:00,20.56
11/28/2014 16:00:00,20.59
12/1/2014 16:00:00,20.27
12/2/2014 16:00:00,20.05
12/3/2014 16:00:00,20.09
12/4/2014 16:00:00,20.06
12/5/2014 16:00:00,20.11
12/8/2014 16:00:00,19.73
12/9/2014 16:00:00,19.78
12/10/2014 16:00:00,19.73
12/11/2014 16:00:00,19.77
12/12/2014 16:00:00,19.61
12/15/2014 16:00:00,19.28
12/16/2014 16:00:00,18.95
12/17/2014 16:00:00,19.16
12/18/2014 16:00:00,19.88
12/19/2014 16:00:00,20.16
12/22/2014 16:00:00,20.33
12/23/2014 16:00:00,20.34
12/24/2014 16:00:00,20.37
12/26/2014 16:00:00,20.6
12/29/2014 16:00:00,20.43
12/30/2014 16:00:00,20.3
12/31/2014 16:00:00,20.16
1/2/2015 16:00:00,20.17
1/5/2015 16:00:00,19.68
1/6/2015 16:00:00,19.61
1/7/2015 16:00:00,19.7
1/8/2015 16:00:00,20.14
1/9/2015 16:00:00,19.97
1/12/2015 16:00:00,20.15
1/13/2015 16:00:00,19.99
1/14/2015 16:00:00,19.93
1/15/2015 16:00:00,19.48
1/16/2015 16:00:00,19.61
1/20/2015 16:00:00,19.89
1/21/2015 16:00:00,20.25
1/22/2015 16:00:00,20.53
1/23/2015 16:00:00,20.63
1/26/2015 16:00:00,20.75
1/27/2015 16:00:00,20.44
1/28/2015 16:00:00,20.35
1/29/2015 16:00:00,20.39
1/30/2015 16:00:00,20.24
2/2/2015 16:00:00,20.37
2/3/2015 16:00:00,20.23
2/4/2015 16:00:00,20.46
2/5/2015 16:00:00,20.84
2/6/2015 16:00:00,20.79
2/9/2015 16:00:00,20.68
2/10/2015 16:00:00,20.85
2/11/2015 16:00:00,21.03
2/12/2015 16:00:00,21.18
2/13/2015 16:00:00,21.45
2/17/2015 16:00:00,21.34
2/18/2015 16:00:00,21.37
2/19/2015 16:00:00,21.54
2/20/2015 16:00:00,21.68
2/23/2015 16:00:00,21.48
2/24/2015 16:00:00,21.42
2/25/2015 16:00:00,21.43
2/26/2015 16:00:00,21.64
2/27/2015 16:00:00,21.51
3/2/2015 16:00:00,21.5
3/3/2015 16:00:00,21.34
3/4/2015 16:00:00,21.22
3/5/2015 16:00:00,21.35
3/6/2015 16:00:00,20.97
3/9/2015 16:00:00,20.8
3/10/2015 16:00:00,20.58
3/11/2015 16:00:00,20.67
